Year,Student_ID,Campus_ID,Grade,Gender,Teacher_ID,Attendance_Rate,Standardized_Math_Score,Standardized_Social_Studies_Score,Standardized_Science_Score
2021,S0001,C1,1st,Female,T0008,0.903,85.4,81.6,75.6
2022,S0001,C1,2nd,Female,T0010,0.918,100.0,86.4,100.0
2023,S0001,C1,3rd,Female,T0016,0.833,86.8,93.5,87.9
2024,S0001,C1,4th,Female,T0021,0.812,84.8,64.6,80.3
2025,S0001,C1,5th,Female,T0023,0.834,85.7,80.8,96.3
2021,S0002,C1,1st,Male,T0005,0.932,82.3,85.3,95.7
2022,S0002,C1,2nd,Male,T0010,0.924,100.0,95.8,100.0
2023,S0002,C1,3rd,Male,T0015,0.937,87.0,81.0,98.6
2024,S0002,C1,4th,Male,T0021,1.0,100.0,72.2,89.2
2025,S0002,C1,5th,Male,T0024,0.866,80.3,71.9,96.3
2021,S0003,C1,1st,Female,T0007,0.901,85.7,88.9,92.3
2022,S0003,C1,2nd,Female,T0011,0.947,96.8,93.7,98.9
2023,S0003,C1,3rd,Female,T0016,0.953,94.9,83.6,98.5
2024,S0003,C1,4th,Female,T0018,0.818,78.0,72.8,79.5
2025,S0003,C1,5th,Female,T0024,0.954,86.0,92.3,96.3
2021,S0004,C1,1st,Female,T0008,0.695,64.1,65.0,64.1
2022,S0004,C1,2nd,Female,T0077,0.852,78.1,81.3,81.2
2023,S0004,C1,3rd,Female,T0015,0.862,80.2,84.7,83.3
2024,S0004,C1,4th,Female,T0021,0.852,97.2,93.7,93.8
2025,S0004,C1,5th,Female,T0025,0.931,82.1,88.2,79.4
2021,S0005,C1,1st,Male,T0006,0.914,85.0,72.3,86.5
2022,S0005,C1,2nd,Male,T0011,0.886,91.9,87.8,89.4
2023,S0005,C1,3rd,Male,T0016,0.796,87.7,81.2,86.9
2024,S0005,C1,4th,Male,T0019,0.907,71.7,83.6,96.8
2025,S0005,C1,5th,Male,T0023,0.779,89.3,78.3,87.5
